ALGORITMO LOGICA
SISTEMA SOFTWARE
COMPUTADOR MAQUINA
INTERFACE VISUAL
TECLADO DIGITACAO
SERVIDOR NUVEM
PROGRAMA CODIGO
VARIAVEL MEMORIA
OBJETO INSTANCIA
CLASSE MOLDE
COMPILADOR TRADUTOR
PLANILHA TABELA
REDE CONEXAO
INTERNET WEB
HACKER INVASOR
GESTAO CONTROLE
EMPRESA NEGOCIO
ESTOQUE PRODUTO
FATURA BOLETO
SUPORTE AJUDA
SMARTWATCH RELOGIO
CELULAR SMARTPHONE
BATERIA CARGA
CAMERA FOTO
MONITOR TELA
CACHOEIRA QUEDA
NATUREZA VERDE
FLORESTA MATA
PASSARO AVE
PRAIA MAR
NORDESTE REGIAO
AREIA DUNA
TURISMO VIAGEM
OCEANO AGUA
SOL CALOR
COQUEIRO ARVORE
PARQUE TRILHA
CACHORRO ANIMAL
ABACAXI FRUTA
GIRASSOL FLOR
GUITARRA INSTRUMENTO
BRASIL PAIS
FUTEBOL ESPORTE
MEDICO PROFISSAO
DIAMANTE JOIA
INVERNO ESTACAO
JUPITER PLANETA
MONTANHA PICO
CHOCOLATE DOCE
DINOSSAURO FOSSIL
